# Exit criterion E5 — hand-checked anime mappings. 62 rows; E5 asks for 50.
#
# "Anime titles resolve across AniList and TMDB with correct ID mapping for a
#  hand-checked set of 50 titles including tricky cases (long-running shonen,
#  split-cour seasons, films tied to series)."
#
# Every anilist_id / imdb_id pair below was written from INDEPENDENT KNOWLEDGE of what
# the work is, not by running the matcher and recording its answer. That distinction is
# the whole value of the file: a fixture generated from the code it tests cannot fail.
#
# HONESTLY, THOUGH: the first run of `verify-anime` against this file failed 4 of 62,
# and all four were errors in THIS FILE rather than in the matcher.
#   - Yu Yu Hakusho and Nichijou had ids recalled wrongly. tt1710308 is Regular Show.
#     Both were corrected only after checking the catalogue's own title and year for
#     the id the matcher produced, which is independent evidence of what that id is.
#   - Re:Zero and Attack on Titan Season 2 were listed as refusals on a false premise:
#     Re:Zero is resolved by a later title form, and IMDb does hold a separate (sparse,
#     undated) record for Attack on Titan Season 2 rather than only the one series.
# Recorded because a fixture whose failures are quietly edited away until it passes is
# worth nothing, and the next person needs to know which rows were revised and why.
#
# `expect` is what the pipeline must produce:
#   match       - the AniList entry must map to exactly this IMDb id
#   ambiguous   - the matcher must REFUSE; several catalogue entries are equally good
#   claimed     - resolves correctly, but an earlier entry of the same series holds
#                 the mapping (AniList lists seasons separately, IMDb often does not)
#   conflict    - refused because the years disagree by more than the tolerance
#
# The negative rows are not filler. They are the ones that fail if someone ever
# "improves" the matcher by breaking ties on popularity.
#
# Verify with:  cargo run -p sinephile-ingest --bin ingest -- verify-anime
#
anilist_id	imdb_id	expect	title	why_it_is_here
1	tt0213338	match	Cowboy Bebop	baseline: exact title, exact year
5	tt0275277	match	Cowboy Bebop: The Movie	film tied to a series, distinct entry
6	tt0251439	match	Trigun	1990s TV, romaji and English identical
19	tt0434706	match	Monster	one-word title shared by hundreds of works
20	tt0409591	match	Naruto	long-running shonen; two undated films share the title
21	tt0388629	match	One Piece	long-running shonen; a 2023 live-action shares the title
30	tt0112159	match	Neon Genesis Evangelion	English title differs entirely from romaji
33	tt0318871	match	Berserk	1997 series, NOT the 2016 one of the same name
43	tt0113568	match	Ghost in the Shell	film with sequels sharing a stem
45	tt0182629	match	Rurouni Kenshin	long-running shonen, multiple live-action films
47	tt0094625	match	Akira	single-word film title
121	tt0421357	match	Fullmetal Alchemist	2003 series — the hardest pair in the catalogue
136	tt0426719	match	Hunter x Hunter	1999 series; the 2011 remake shares the title
164	tt0119698	match	Princess Mononoke	Ghibli, English title unrelated to romaji
199	tt0245429	match	Spirited Away	Ghibli; three regional titles were mislabelled English
205	tt0423731	match	Samurai Champloo	baseline
235	tt0131179	match	Detective Conan	1000+ episode shonen, renamed Case Closed in the US
269	tt0434665	match	Bleach	long-running shonen with a 2022 revival
339	tt0500092	match	Serial Experiments Lain	baseline
392	tt0185133	match	Yu Yu Hakusho	IMDb titles it "Yu Yu Hakusho: Ghost Files"
431	tt0347149	match	Howl's Moving Castle	Ghibli
437	tt0156887	match	Perfect Blue	film, no series
523	tt0096283	match	My Neighbor Totoro	Ghibli
572	tt0087544	match	Nausicaä of the Valley of the Wind	diacritic in the English title
578	tt0095327	match	Grave of the Fireflies	Ghibli
777	tt0495212	match	Hellsing Ultimate	OVA series distinct from the 2001 Hellsing
813	tt0121220	match	Dragon Ball Z	long-running shonen
918	tt0988818	match	Gintama	long-running shonen, many seasons on AniList
1535	tt0877057	match	Death Note	6 catalogue entries share the normalised title
1575	tt0994314	match	Code Geass: Lelouch of the Rebellion	subtitle differs across sources
1735	tt0988824	match	Naruto: Shippuden	sequel series, distinct IMDb entry from Naruto
1943	tt0851578	match	Paprika	film
2167	tt1118804	match	Clannad	sequel After Story is a separate entry
2236	tt0808506	match	The Girl Who Leapt Through Time	film
4224	tt1279024	match	Toradora!	punctuation in the title
5114	tt1355642	match	Fullmetal Alchemist: Brotherhood	the other half of the hardest pair
5680	tt1410218	match	K-On!	punctuation
9253	tt1910272	match	Steins;Gate	semicolon; catalogue has "Steins; Gate" with a space
