# Exit criterion E3 — nDCG@10 > 0.75 on the semantic query set.
#
# FORMAT:  kind <TAB> query <TAB> imdb_id <TAB> grade <TAB> why
#   kind    "meaning" or "filter" — SCORED SEPARATELY, never averaged together.
#           A kind may carry a sub-kind after a slash: "meaning/known-item".
#           A KNOWN-ITEM query describes ONE film rather than a topic, so nDCG over its
#           two graded answers scores 0.0000 the moment that film lands at rank 11 — and
#           says nothing about whether it came 11th or 11,000th. It is still a meaning
#           query and is still counted in E3 exactly as before; the sub-kind only lets
#           the report show reciprocal rank beside the number (D40). Marked when the
#           tension was NOTICED, not after it disappointed.
#   grade   2 = an obvious answer, the one a person would name
#           1 = defensible, would not be wrong to see on the page
#           (anything unlisted scores 0, which is what nDCG needs)
#
# ─────────────────────────────────────────────────────────────────────────────
# WHY THE TWO KINDS ARE NEVER AVERAGED
#
# A filter query fails when a WHERE clause is wrong; a meaning query fails when an
# embedding is weak. They have different fixes and different ceilings, and one number
# covering both would move for reasons nobody could attribute. `eval search --report`
# prints them apart.
#
# ─────────────────────────────────────────────────────────────────────────────
# HOW THESE ANSWERS WERE CHOSEN, AND WHY IT MATTERS
#
# Every film below was named FIRST, from knowledge of what actually answers the query,
# and only then resolved to an IMDb id. None of it came from running the search.
#
# This is not ceremony. A fixture generated from the code it tests cannot fail, and this
# project has two prior fixtures that each turned out WRONG four times on their first
# run — fixtures/anime/e5-hand-checked.tsv and fixtures/search/exact-titles.tsv. Both
# times the code was right and the fixture was not. Expect the same here, and record the
# disagreements rather than quietly editing them away.
#
# THE HONEST CAVEAT: the same author wrote the engine and this fixture. "Defensible" is
# a judgement, and mine is not disinterested. What protects the number is that the films
# were chosen before any of them was run, and that the disagreements are written down
# below rather than resolved in favour of the code.
#
# ─────────────────────────────────────────────────────────────────────────────
# DISAGREEMENTS FOUND ON THE FIRST RUN
#   (appended here as they are found, with who turned out to be right)
#
# 2026-09-13 — NOT a disagreement, and the more valuable kind of entry.
#
# The grade I was least confident of was Chungking Express at 1 for "like Wong Kar-wai
# but Korean": the query asks for something LIKE him and Korean, and the film is him and
# not Korean. Graded 2 it would flatter the engine; graded 0 the meaning score drops.
#
# Put to the author without saying which way I leaned. Answer: "defensible, grade 1 is
# right." Recorded because the author writing the engine and grading its exam is the one
# weakness in this fixture that care cannot fix, and this is the single point where that
# circularity is broken by someone else.
#
kind	query	imdb_id	grade	why
# ── meaning ──────────────────────────────────────────────────────────────────
meaning	films about grief that aren't depressing	tt19887550	2	Good Grief — a comedy explicitly about bereavement; the query almost describes it
meaning	films about grief that aren't depressing	tt0103129	2	Truly Madly Deeply — grief as warmth and comedy, not despair
meaning	films about grief that aren't depressing	tt3416532	1	A Monster Calls — grief, fantastical rather than bleak
meaning	films about grief that aren't depressing	tt4034228	1	Manchester by the Sea — the canonical grief film, though undeniably heavy
meaning/known-item	a man returns to his hometown to care for his nephew after a death	tt4034228	2	Manchester by the Sea — this is literally its plot
meaning/known-item	a man returns to his hometown to care for his nephew after a death	tt0081283	1	Ordinary People — family, bereavement, a house that cannot absorb it
meaning	like Wong Kar-wai but Korean	tt0140825	2	Christmas in August — the closest Korean analogue: still, romantic, elegiac
meaning	like Wong Kar-wai but Korean	tt7282468	2	Burning — Lee Chang-dong; longing and drift, photographed like a mood
meaning	like Wong Kar-wai but Korean	tt4016934	1	The Handmaiden — Korean and sumptuous, more baroque than melancholy
meaning	like Wong Kar-wai but Korean	tt0109424	1	Chungking Express — Wong Kar-wai himself; not what was asked, not wrong to offer
meaning/known-item	slow science fiction about memory	tt0069293	2	Solaris — memory made physical, and slow by design
meaning/known-item	slow science fiction about memory	tt0338013	2	Eternal Sunshine of the Spotless Mind — memory is the entire mechanism
meaning/known-item	slow science fiction about memory	tt0079944	1	Stalker — slow and science fiction; desire rather than memory
meaning/known-item	slow science fiction about memory	tt1856101	1	Blade Runner 2049 — implanted memory, and unhurried
meaning	anime about loneliness in a big city	tt2591814	2	The Garden of Words — Tokyo, rain, two people alone in it
meaning	anime about loneliness in a big city	tt0983213	2	5 Centimeters per Second — distance and the city that keeps people apart
meaning	anime about loneliness in a big city	tt0388473	1	Tokyo Godfathers — homelessness in Tokyo, but warm and crowded
meaning	heist films where the plan goes wrong	tt0072890	2	Dog Day Afternoon — the plan collapses in the first ten minutes
meaning	heist films where the plan goes wrong	tt0049406	2	The Killing — Kubrick; the plan is the film, and it comes apart
meaning	heist films where the plan goes wrong	tt0105236	1	Reservoir Dogs — the aftermath of a heist that went wrong
meaning	heist films where the plan goes wrong	tt0120324	1	A Simple Plan — not a heist, but a plan unravelling is the whole subject
meaning	documentaries about mountain climbing	tt7775622	2	Free Solo — El Capitan, no rope
meaning	documentaries about mountain climbing	tt0379557	2	Touching the Void — the Siula Grande descent
